Solution ID,f[1],f[2],f[3]
102,38.0,752.0,707.947368421
358,38.0,752.0,707.947368421
3129,48.0,970.0,560.458333333
3861,44.0,761.0,611.409090909
3948,37.0,776.0,727.081081081
5534,48.0,970.0,560.458333333
5564,49.0,970.0,549.020408163
6024,49.0,970.0,549.020408163
6055,48.0,970.0,560.458333333
7001,51.0,970.0,527.490196078
10025,46.0,880.0,584.826086957
10463,42.0,757.0,640.523809524
11011,46.0,880.0,584.826086957
11275,37.0,776.0,727.081081081
11499,47.0,880.0,572.382978723
11513,39.0,748.0,689.794871795
11987,46.0,880.0,584.826086957
12000,40.0,748.0,672.55
13454,46.0,880.0,584.826086957
14431,46.0,880.0,584.826086957
14445,40.0,748.0,672.55
16865,43.0,763.0,625.627906977
22130,45.0,823.0,597.822222222
24180,41.0,752.0,656.146341463
24950,36.0,878.0,747.277777778
