Solution ID,f[1],f[2],f[3]
97,76.0,420.0,375.355263158
132,71.0,442.0,401.788732394
215,111.0,301.0,257.0
266,69.0,451.0,413.434782609
554,60.0,504.0,475.45
607,69.0,451.0,413.434782609
649,77.0,411.0,370.480519481
729,73.0,448.0,390.780821918
960,48.0,613.0,594.3125
1186,61.0,497.0,467.655737705
1285,38.0,810.0,750.710526316
1331,64.0,478.0,445.734375
1417,59.0,510.0,483.508474576
1553,70.0,444.0,407.528571429
1934,67.0,462.0,425.776119403
2110,61.0,497.0,467.655737705
2202,56.0,533.0,509.410714286
2303,66.0,462.0,432.227272727
2322,72.0,432.0,396.208333333
2713,82.0,392.0,347.890243902
2729,59.0,510.0,483.508474576
2746,58.0,514.0,491.844827586
2834,93.0,420.0,306.741935484
2835,93.0,420.0,306.741935484
3122,57.0,525.0,500.473684211
3156,50.0,590.0,570.54
3370,39.0,736.0,731.461538462
3483,61.0,497.0,467.655737705
3540,59.0,510.0,483.508474576
3845,53.0,557.0,538.245283019
3952,89.0,378.0,320.528089888
3953,89.0,378.0,320.528089888
4118,63.0,479.0,452.80952381
4379,106.0,314.0,269.122641509
4387,65.0,472.0,438.876923077
4591,55.0,541.0,518.672727273
4749,55.0,541.0,518.672727273
5246,46.0,643.0,620.152173913
7530,44.0,691.0,648.340909091
8387,47.0,625.0,606.957446809
8774,83.0,489.0,343.698795181
9989,42.0,708.0,679.214285714
10630,103.0,334.0,276.961165049
12633,85.0,394.0,335.611764706
13001,79.0,403.0,361.101265823
14610,78.0,649.0,365.730769231
15666,40.0,714.0,713.175
15803,75.0,667.0,380.36
16434,97.0,346.0,294.092783505
16524,101.0,448.0,282.445544554
16536,96.0,457.0,297.15625
17900,92.0,362.0,310.076086957
18921,38.0,810.0,750.710526316
19251,95.0,360.0,300.284210526
19896,80.0,395.0,356.5875
19919,86.0,381.0,331.709302326
19922,88.0,444.0,324.170454545
19981,51.0,574.0,559.352941176
20605,113.0,301.0,252.451327434
20607,114.0,301.0,250.236842105
20738,87.0,444.0,327.896551724
21342,108.0,384.0,264.138888889
21343,109.0,381.0,261.71559633
22041,91.0,483.0,313.483516484
22154,49.0,597.0,582.183673469
22221,116.0,337.0,245.922413793
22252,41.0,711.0,695.780487805
23110,81.0,390.0,352.185185185
23348,52.0,567.0,548.596153846
23416,68.0,441.0,419.514705882
23444,74.0,427.0,385.5
23527,90.0,426.0,316.966666667
23576,112.0,359.0,254.705357143
23849,54.0,545.0,528.277777778
24277,99.0,405.0,288.151515152
24355,45.0,727.0,633.933333333
24365,43.0,706.0,663.418604651
24569,62.0,489.0,460.112903226
