Solution ID,f[1] (B),f[2] (W),f[3] (s)
53,4.0,18.7767949681,5547.02537312
153,6.0,12.0514044214,5712.26962164
375,4.0,17.4219534711,5603.54022755
388,4.0,18.1510781304,5595.35478654
453,4.0,15.0542828813,5709.92723716
479,5.0,12.6819584574,6129.43104026
494,5.0,13.6400130698,5759.54078277
495,6.0,10.3613160855,5813.35644605
497,5.0,13.9353556655,5707.22634159
502,3.0,22.3790504376,5842.99340711
526,5.0,15.0826353824,5555.92905989
540,3.0,24.911760634,5746.79859059
564,6.0,11.8998997558,5725.44762355
578,6.0,11.2720485524,5744.68846355
595,3.0,23.4109816461,5807.1450302
619,5.0,13.0699767886,6091.81226705
658,3.0,20.7619709864,6061.49525892
681,3.0,23.4229386591,5746.88740687
687,3.0,24.8854492931,5746.80141447
700,3.0,20.4538965168,6072.03810768
723,4.0,16.9356708884,5632.69513439
739,5.0,13.5248859788,5966.33772962
745,3.0,22.748419827,5817.582246
746,3.0,22.1854671222,6024.63210759
748,3.0,19.8688706382,6140.71410156
750,3.0,23.3135638503,5813.88559244
