Solution ID,f[1] (B),f[2] (W),f[3] (s)
18828,55.0,34.033247624,9005.81515569
24933,44.0,30.7916078662,9848.94093713
24937,138.0,9.93226359826,9515.54004973
24938,139.0,9.86021480928,9515.54004973
24939,140.0,9.78033320679,9515.54004973
24940,141.0,9.71300818701,9515.54004973
24941,142.0,9.70753677977,9515.54004973
24949,104.0,17.9467531338,8519.30594379
24951,105.0,17.7675985033,8500.81540427
16834,45.0,29.4900298316,9706.17258348
22931,116.0,11.6786320339,9586.51176867
21572,65.0,26.4124880251,8941.84611589
22936,120.0,11.2867775186,9526.80202406
21246,76.0,17.7994417816,9230.07868438
21254,78.0,17.2787545667,9208.32752564
21278,83.0,20.1611717126,8943.07577808
21289,59.0,28.9798178467,9105.39453007
21301,92.0,20.2780446312,8681.32655888
21303,94.0,19.8964432436,8676.36370924
21304,95.0,19.6870411119,8669.09038186
21310,99.0,18.8494524207,8613.89797397
21323,71.0,23.9517400328,8980.42722245
21340,122.0,11.1483593849,9484.9504492
21386,56.0,33.3657537336,8961.21739384
21420,90.0,20.653092098,8720.03441246
13267,86.0,21.7462047398,8758.20961782
13269,67.0,19.801975146,9726.88102653
21475,60.0,22.4181374384,9206.05863771
17518,91.0,20.4935437692,8687.43462861
21629,117.0,11.5984622177,9512.32933625
21686,48.0,29.3544143444,9319.35927419
21694,50.0,28.1490129872,9234.80680541
11818,47.0,40.7568476255,9141.33642251
5374,43.0,32.6586287575,9797.1876134
22748,133.0,10.2891976788,9515.54004973
22937,121.0,11.1953279678,9475.52299954
24143,136.0,10.0764186219,9515.54004973
22430,41.0,55.2525691951,9613.29294496
21503,61.0,30.346782445,8914.11550689
22891,93.0,20.07937195,8783.57223687
18601,80.0,16.5757564586,9373.78985966
22742,128.0,10.6437474761,9515.54004973
22750,134.0,10.191096109,9515.54004973
22817,51.0,36.8935654305,9055.83987523
22828,89.0,14.8112689039,9268.60438322
18762,98.0,19.0532095535,8613.89797397
22862,64.0,27.0990569396,8950.2193968
18772,74.0,19.2948897937,9129.16397005
18796,106.0,12.7408585433,9701.47420966
22930,115.0,11.7814688932,9589.55227419
18798,107.0,12.6164924453,9677.38746626
18799,108.0,12.4965713638,9667.00847495
22914,118.0,11.48916782,9442.00367345
22915,119.0,11.4047177017,9411.17725471
18848,97.0,13.8149081825,9697.01589184
18852,100.0,13.3864776734,9647.06025732
23012,102.0,18.2422325484,8598.73556561
23071,81.0,16.3121543627,9358.78064673
23081,69.0,24.3433910775,8999.14237719
23088,53.0,34.3012920252,9060.97894281
23105,129.0,10.5677060748,9460.10734733
23106,130.0,10.4833975462,9424.40419709
23109,131.0,10.3986904329,9400.31844338
23112,132.0,10.3148435273,9339.12698025
23159,87.0,21.4146401038,8814.57841691
23163,57.0,24.4223909967,9184.82280745
24456,111.0,12.1498150745,9601.13470197
24458,113.0,11.9300781744,9570.54253522
19902,127.0,10.7400881347,9531.43539771
24142,135.0,10.1383783426,9515.54004973
24144,137.0,9.99709925809,9515.54004973
24157,42.0,39.4566746843,9629.29969778
24170,75.0,22.7415348075,8874.46322518
20097,77.0,24.2779710948,8828.43813546
24203,88.0,14.9859409137,9284.61038632
11916,52.0,36.0642691147,9047.52606156
24214,54.0,25.0444655797,9238.50381134
24218,58.0,23.2955262125,9204.53434859
11940,49.0,42.9366824688,9092.73546285
24237,82.0,17.4808402726,9009.14305332
24242,123.0,11.0594919221,9495.62287989
24243,124.0,10.9672238806,9466.03033784
24244,125.0,10.8783015709,9462.67307961
24247,126.0,10.7829722041,9401.99432407
24314,96.0,19.4575243929,8576.53438176
24386,72.0,18.4471971264,9302.02972503
24388,73.0,18.1975161666,9251.76429475
24394,101.0,18.45068277,8598.73556561
24399,103.0,18.1197901872,8545.44203671
24407,62.0,22.4439008049,9158.34254903
24410,63.0,22.0739426619,9111.33697088
24416,66.0,21.0437400161,9083.31978471
24417,85.0,21.8091516993,8845.06814972
24441,79.0,16.8123891778,9392.3534657
24444,46.0,29.8613560233,9324.80297412
16254,68.0,19.7560563936,9449.51325859
16256,70.0,19.1885351273,9434.99295595
24455,110.0,12.2618507922,9615.14018499
24457,112.0,12.0401793774,9588.74179722
16266,84.0,22.2486839834,8760.09545739
24461,114.0,11.8227426896,9522.71554603
16327,109.0,12.3739455015,9639.10476979
