Solution ID,f[1] (B),f[2] (W),f[3] (s)
14337,42.0,47.8586139875,9150.91421312
6154,58.0,26.476926001,8937.5580228
22572,43.0,34.9964915181,9280.8817035
18502,51.0,35.0030615016,9039.77993258
16480,45.0,42.570381901,9043.93471822
6252,58.0,28.1918868625,8903.60498143
21469,45.0,40.5168201302,9096.87901851
16596,60.0,23.8542512734,8998.47075863
4328,61.0,23.4168836147,8955.59981634
24815,42.0,40.0596654549,9287.37205608
8475,45.0,34.8637874415,9266.96304506
12643,45.0,31.2516380119,9417.83060401
14694,45.0,39.9429156189,9111.81460068
16745,47.0,34.8082847779,9145.96830964
10602,54.0,26.5060043121,8992.10446225
10643,47.0,37.9667232621,9056.83041854
14756,51.0,29.6432880233,9208.25690955
14758,59.0,27.7203564551,8910.81285493
25010,43.0,32.6772437283,9371.27125609
24974,59.0,24.7130566416,9052.72244435
14069,49.0,31.3098520758,9230.57424311
22986,42.0,40.0524061553,9307.39365689
6617,48.0,33.394234623,9218.41064185
18910,63.0,22.6957770142,8806.78801662
8678,43.0,38.7205593108,9165.85942255
21929,60.0,24.6988052887,8983.19547638
23043,60.0,23.1567923483,9068.16518401
23048,42.0,39.0962638908,9363.11213181
21024,62.0,21.2862242871,9103.5226091
14887,48.0,35.1457428543,9091.9560181
18984,60.0,25.2754195602,8879.80774458
23089,43.0,33.6047510769,9350.59365078
24963,50.0,35.6976226873,8998.15226011
23648,61.0,24.8001428692,8881.18086514
4711,56.0,25.0907930272,9171.34398394
16797,57.0,28.8265812078,8945.51791708
19100,62.0,23.4575232677,8875.81220239
23227,45.0,36.8255197948,9187.94138077
12992,53.0,27.9824869622,8964.68022597
6849,47.0,39.3895391545,9034.58680295
19150,43.0,32.6324486771,9590.23289941
17153,45.0,35.0477669174,9222.85026578
11023,46.0,42.2763483599,9023.52591285
14809,62.0,22.6155406126,8882.9034348
19267,58.0,26.0552004404,9091.25180766
12303,42.0,59.4083034031,9097.96978245
4052,44.0,43.0532201817,9083.25936629
15231,64.0,21.2301105001,8831.5751336
7318,43.0,34.7760417234,9304.30658517
23468,60.0,25.1204272318,8958.61022983
11183,57.0,26.2367251688,9149.72544389
19619,46.0,41.533932207,9050.13039424
13279,43.0,36.3009114199,9214.756008
12670,49.0,34.3304452448,9061.90887938
18450,50.0,33.2751722628,9114.33705029
23975,43.0,35.4773669015,9225.86888769
21641,64.0,21.252745587,8807.93673666
13451,59.0,24.6784880358,9183.78464733
7310,42.0,48.5076933077,9116.21889807
17573,59.0,25.2855078446,8955.98310011
21689,42.0,47.9419237913,9149.83246278
3616,48.0,34.5176669137,9138.07266643
13816,60.0,24.7399843251,8967.06264117
21712,65.0,19.3857710833,8809.23539844
23767,58.0,24.9724162099,9123.91431498
23772,50.0,35.0997846969,9048.74729666
21737,43.0,49.5198141364,9074.92462514
7440,61.0,23.9194605533,8935.43278964
14897,61.0,23.6523161869,8937.28179733
17453,52.0,32.2178745877,8941.95136926
13638,45.0,40.8771321671,9083.02272197
21874,51.0,27.3877233282,9273.39203264
11638,48.0,36.7763047455,9023.29535919
11642,50.0,33.9000753406,9094.86315661
15761,46.0,36.5152055069,9154.54204822
23957,51.0,31.5656532606,9100.11886145
24817,46.0,34.0729264379,9181.17190024
15602,49.0,30.6742015691,9254.04781233
5572,53.0,27.8941153021,9238.08722975
21667,42.0,41.0295601862,9196.84163701
19486,46.0,37.7221468596,9119.46261612
11768,42.0,47.3430269161,9157.3433184
19970,49.0,39.0523625128,8945.1698007
22022,49.0,32.4886992245,9218.36664094
7691,43.0,40.7419796058,9122.87494258
20027,61.0,22.3476917985,8989.09098697
15950,42.0,39.3044425659,9349.68079351
7764,48.0,33.0553106099,9308.76136089
15967,43.0,47.7171779781,9119.93971133
13173,44.0,32.1900029125,9346.40797032
7461,42.0,48.44543629,9118.6981174
20193,43.0,34.5501958157,9318.38684626
15654,43.0,35.1654929269,9252.74686343
13903,51.0,33.5673675213,9054.16314368
5914,45.0,40.7651972815,9090.57225167
24396,63.0,20.07706531,8833.80068765
8029,42.0,48.1621406217,9121.37005227
8792,52.0,30.6199742025,9108.38330014
14193,43.0,38.0567330297,9167.88469547
22429,44.0,33.3635799243,9338.36225052
8130,62.0,21.814950862,8906.71407186
24685,42.0,41.0711286566,9169.79801049
18386,42.0,48.5920645468,9114.29966642
5116,61.0,23.9519796029,8907.65522601
22509,44.0,34.5444062354,9275.68865194
