Solution ID,f[1] (B),f[2] (W),f[3] (s)
8192,43.0,33.9041398698,9263.84111859
20526,47.0,37.3811255851,9067.09273328
20568,63.0,22.9954991107,8799.60903102
16559,51.0,31.0775060818,9073.5434125
12517,57.0,29.1424332761,8968.67854572
24812,49.0,29.974629646,9204.58581821
10493,42.0,48.830144277,9108.63043969
18196,61.0,23.9301362511,8849.32357102
14627,45.0,35.4354452563,9160.9835092
18747,47.0,41.3127083706,9053.87012075
18760,62.0,23.0514691019,8869.47532995
22883,42.0,35.1616206824,9349.02883856
24935,63.0,21.0755790891,9017.73279624
22897,50.0,30.2717533034,9167.73561381
6520,42.0,46.8329702501,9124.11205991
18829,58.0,27.7331501887,8856.62576434
8616,42.0,34.9623084324,9403.91756378
20929,50.0,35.1340693663,9038.01531687
18884,59.0,25.665555976,8945.73832671
8671,65.0,20.1080914618,9051.14809572
12800,64.0,20.7120312593,9063.58595978
14869,55.0,25.5510035705,9201.39871915
15797,53.0,27.9478427038,9447.8632394
21079,57.0,26.3317236471,8975.00344093
23148,63.0,21.7058442058,8800.27294376
19095,46.0,32.8047247946,9212.80898421
10904,42.0,40.230115822,9202.52948817
10921,56.0,29.6668084867,8986.52167159
12062,51.0,30.9016907434,9132.93891518
12999,47.0,36.038903736,9084.08849471
17099,49.0,38.9741264139,9064.77705117
13005,43.0,55.1606672971,9022.6691864
23254,42.0,34.7354947115,9426.36484148
24596,58.0,25.6634207245,9105.56222183
25044,45.0,44.3600718396,9082.20864793
4882,62.0,21.5843312086,9185.44803113
8983,47.0,43.7373469666,9013.99554568
19259,45.0,40.8647884777,9118.01338109
23415,53.0,31.8666063783,9055.10533418
23420,50.0,31.6218952842,9108.86104702
15230,46.0,32.9167927598,9209.92078462
24730,60.0,24.7599890985,8948.4550186
16199,58.0,27.6419500524,8935.21373774
21991,44.0,41.5324364224,9144.02215038
17968,53.0,30.6243781384,9122.58139546
17384,58.0,26.1563594462,9041.92984526
21515,53.0,28.988373203,9387.38091031
17416,42.0,49.7044428981,9105.69388031
20322,62.0,21.7157741327,8971.26960961
23633,48.0,40.4500623231,8988.63751575
13427,47.0,31.3261475314,9279.91177098
5260,51.0,32.3940999449,8977.90206171
17554,54.0,26.6923684054,9008.12829457
17562,57.0,29.5266292051,8916.54887423
23722,46.0,35.895670152,9112.02656857
13497,43.0,31.870899173,9335.87794358
5306,45.0,43.2831166422,9110.66844527
17646,50.0,34.2462521131,9068.34163696
24447,65.0,20.9837748501,8996.25226138
17710,45.0,43.2821481583,9116.4220357
23877,59.0,26.4585017037,8906.95732608
23885,61.0,21.8816623058,9023.33822629
15735,58.0,26.4708825108,8940.65821425
13716,57.0,26.229996972,9023.00425875
16074,43.0,40.4370504845,9181.23492688
17839,48.0,32.9828819421,9076.38608398
5559,63.0,21.1813332165,8947.10667203
11711,56.0,32.9230849605,8919.11087594
9460,49.0,32.7015724285,9073.26335851
17901,44.0,45.9497256421,9065.69695786
9763,55.0,31.8061036611,8982.29936811
13864,61.0,23.5175094433,8988.19497191
20011,44.0,37.9250139409,9193.68950487
15961,63.0,23.1682915267,8794.5982582
18028,59.0,22.1825477388,8988.31086769
11892,43.0,36.9728222104,9221.03350201
9490,60.0,25.1988992617,8798.88005545
3724,60.0,24.4085500151,8969.41868575
20151,51.0,29.3710945977,9296.16548286
14025,46.0,34.7728074731,9194.98323539
12042,44.0,38.9809647306,9170.75069904
22344,43.0,48.3278135595,9081.36304959
18264,44.0,36.0323507385,9214.06426563
8038,44.0,38.9191523845,9189.28059591
14192,45.0,40.2004553597,9125.24194805
11824,59.0,25.5929899733,8952.87706106
24458,44.0,41.5216983796,9152.40343413
14233,42.0,42.5529002346,9148.0215347
14663,49.0,30.5591651755,9159.91358773
12205,51.0,32.2088931543,9062.41238745
20399,61.0,23.9776712989,8777.78610824
20418,59.0,27.2386527653,8902.3670732
14292,63.0,21.2526959229,8821.79095289
4092,56.0,30.7701818994,8933.58057999
12286,64.0,21.146307869,8919.33077415
