Solution ID,f[1] (B),f[2] (W),f[3] (s)
16389,41.0,44.5859272726,9836.84255398
12313,101.0,14.2814887577,9117.60614513
20649,57.0,24.761583107,9265.3610605
20653,60.0,23.5092819782,9212.63839296
20656,62.0,22.7472810426,9167.41975249
2265,42.0,33.4586240975,9816.79116241
13783,45.0,38.1078999071,9302.1923759
22760,134.0,10.8292053924,8990.39777757
24866,141.0,10.2870314603,8999.74805706
16807,110.0,13.1270001858,9090.29141514
16808,111.0,13.0060684655,9072.17724257
16809,112.0,12.8933124143,9067.76728252
16810,113.0,12.781445738,9060.71623971
18861,90.0,16.0333601219,9045.14425016
16816,115.0,12.5823159895,8986.92628824
18869,94.0,15.3287276902,8950.96554381
18870,75.0,19.1611167344,9424.13354469
16826,53.0,26.7136489194,9353.91751633
18877,81.0,17.675313487,9424.13354469
10686,95.0,15.2003117417,9163.87250724
10688,97.0,14.8885427757,9127.92643575
10689,98.0,14.7359109162,9117.60614513
10690,99.0,14.5920981689,9109.56679248
10692,100.0,14.4546297743,9098.51007598
18896,65.0,25.4196455548,8954.06541669
14816,55.0,25.6350931021,9354.57272976
12777,78.0,18.5058531598,9170.91798655
18928,130.0,11.1854374281,8966.54417228
18929,131.0,11.0995753448,8947.0186276
18933,132.0,11.0064705256,8921.28628889
18937,133.0,10.9157206816,8887.59385493
16898,93.0,15.4733441268,9015.02387915
14859,82.0,17.55281551,9271.63300221
18958,116.0,12.4302085339,9098.51007598
18962,119.0,12.1469227874,9098.51007598
16921,44.0,31.9616018446,9706.76444226
12829,96.0,15.0599002917,9105.68512166
12840,85.0,16.8670731103,9254.03799595
12844,87.0,16.4703379429,9186.1644085
16954,48.0,29.5219951727,9443.72620994
21078,58.0,24.2493061783,9488.81965839
12896,84.0,17.0434719657,9196.53856927
18878,52.0,26.9467964789,9535.57405733
14969,43.0,50.8703646284,9474.04332709
16833,54.0,26.2588281314,9226.2406823
14998,46.0,40.9501194202,9196.38265986
19373,128.0,11.2699637454,9098.51007598
15859,102.0,14.1491825648,9090.29141514
19380,64.0,22.0825448202,9102.60005452
19383,66.0,21.4859686154,9080.35939084
15867,105.0,13.7327377288,8986.78961003
21477,42.0,43.0288585747,9541.83020006
12786,83.0,17.3768196862,9074.96472307
21492,122.0,11.9095004309,9090.29141514
18942,69.0,20.2849809872,9071.130088
21497,125.0,11.6164633073,9026.0533024
17405,47.0,35.9425492527,9254.00612659
16897,92.0,15.6422104331,9018.36547884
23609,56.0,25.1054870112,9488.81965839
14861,89.0,16.216529491,9062.2388434
18961,118.0,12.259172896,9098.51007598
16915,59.0,23.9481689402,9177.96013772
18864,91.0,15.8484191168,9035.73405325
7531,80.0,17.9727175833,9163.89281861
15868,106.0,13.6034035904,8982.28347247
15761,107.0,13.5320376394,9098.51007598
15763,109.0,13.2509072976,9098.51007598
21915,103.0,13.9929929107,9077.27145563
21916,104.0,13.8677672702,9072.17724257
1451,42.0,33.3834316874,9843.73264354
17878,77.0,18.6839769285,9218.99739106
11735,63.0,22.3878249986,9138.99349712
17881,79.0,18.2114317253,9218.99739106
11754,76.0,18.8712789476,9424.71721504
11760,61.0,23.0451923238,9336.26136723
17906,49.0,28.6223896033,9634.48083071
17909,51.0,27.5907554629,9574.24131159
13835,108.0,13.3887925144,9127.92643575
17947,72.0,19.4615464206,9055.3300968
13860,68.0,20.7251764807,9051.17877379
17973,86.0,16.6991675987,9074.96472307
17975,88.0,16.3270341202,9074.96472307
17988,120.0,12.1004552086,9067.76728252
17989,121.0,12.004640346,9060.71623971
17993,123.0,11.8098079083,8999.74805706
17995,124.0,11.7242293803,8986.18019024
18944,70.0,20.0410781214,9071.130088
18945,71.0,19.7511021204,9071.130088
20221,126.0,11.5140590462,8986.18019024
22322,129.0,11.2548688129,8984.13547475
18953,67.0,21.5675085207,9045.78432233
24448,135.0,10.7440354527,8977.29278759
24449,136.0,10.6720540076,8974.32519587
24450,137.0,10.5938515811,8966.15799333
24451,138.0,10.5153120668,8943.73043616
24455,139.0,10.426690599,8909.38898597
24456,140.0,10.3472061851,8901.06121145
16322,114.0,12.6576316857,9098.51007598
16325,117.0,12.3457376524,9098.51007598
16330,50.0,29.0197739427,9318.90620523
21501,127.0,11.4434010301,8984.13547475
