Solution ID,f[1] (B),f[2] (W),f[3] (s)
18277,59.0,27.4877336447,9242.95813472
16420,80.0,16.9825762295,9298.54822146
20537,75.0,18.0312688847,9380.39877385
20549,93.0,22.8766674494,8729.42343141
16455,44.0,31.5434654443,9572.37187836
16457,45.0,30.8375722496,9540.56333403
20566,42.0,33.3903883313,9554.97131914
20581,85.0,15.8049930196,9242.33470086
20587,89.0,15.0794127541,9183.36633544
20592,86.0,15.6162897145,9232.48275676
20597,91.0,14.7442401775,9185.74872261
16506,53.0,31.823031088,9171.56658425
20606,69.0,19.6400969337,9275.26696798
20609,51.0,26.7512084143,9467.67976153
20667,74.0,18.2500584727,9373.0619393
20677,77.0,17.5020697932,9373.0619393
18829,50.0,27.1354782425,9509.35481665
20520,58.0,24.8264990117,9311.53946496
16738,88.0,15.2550196596,9514.04601653
20839,46.0,30.3552852813,9395.88953764
20865,52.0,39.2118384881,9042.67685424
20914,64.0,21.1931621828,9212.30316771
20937,105.0,19.9356494963,8721.5522104
21063,56.0,25.8859945626,9321.0332257
21066,98.0,21.1583436085,8896.75559303
13009,49.0,42.1032207917,9100.96139113
21224,63.0,29.5518563089,8991.66177994
21238,67.0,28.7846601944,8848.21675893
4863,42.0,32.9707167563,9622.38787909
23339,111.0,12.1490735928,9228.04708762
23340,112.0,12.0313322987,9224.9501036
21282,82.0,22.952085469,8846.10361111
21285,84.0,22.4059312236,8836.94905029
21366,65.0,25.9257224589,8997.99367229
9203,44.0,31.0641959431,9676.29253445
21525,48.0,43.074213676,9138.04036464
13393,43.0,38.4306035831,9499.521964
18095,51.0,40.7530050972,9030.36740604
14152,42.0,32.450138945,9737.6910703
18396,98.0,21.803086862,8665.5371743
18398,99.0,21.5828526973,8640.8315431
2096,46.0,50.5445266278,9223.33331382
7860,42.0,32.3903174294,9768.78049233
18791,89.0,24.1486651178,8713.86719524
18793,90.0,23.8174129476,8691.18545554
18794,91.0,23.5185328487,8683.16056551
18821,45.0,30.1399490582,9662.94174209
23019,102.0,20.5500373405,8747.16482289
23021,103.0,20.3363061202,8738.41541605
23045,90.0,14.9038962648,9198.97590876
23049,92.0,14.5812928848,9198.97590876
23057,70.0,19.3635338742,9283.1627577
23061,72.0,18.8415164507,9283.1627577
10800,43.0,31.5429413065,9770.64137046
23107,46.0,29.5875509189,9723.67067256
23144,60.0,22.3311242368,9280.11538106
23153,55.0,34.5791951255,8984.06343353
23180,73.0,25.860818311,8892.63023971
23202,83.0,16.1919872019,9302.74348395
23232,54.0,31.3244825219,9088.54500855
23247,78.0,24.2562161312,8798.38433354
23257,106.0,12.7212883976,9307.00012148
23259,107.0,12.5950638827,9286.84085405
23275,97.0,21.442344856,8763.86164035
23333,108.0,12.4919137511,9278.59862601
23341,113.0,11.9207065812,9204.29572408
23342,114.0,11.8119332676,9203.58200153
23383,95.0,21.7421535837,8925.82978328
19297,106.0,19.8821548605,8692.0754593
19303,101.0,20.5633567051,8810.00571732
23493,80.0,16.8295005744,9332.12785063
23494,81.0,16.6223834365,9327.53056424
7136,43.0,42.4403611262,9470.59318403
23521,62.0,26.2244034985,9111.69879822
23522,71.0,26.5124602213,8958.61830336
7142,47.0,44.0130868092,9138.04036464
23535,46.0,36.6464019798,9264.39308352
23538,49.0,34.3314589379,9264.39308352
23556,61.0,21.7758921993,9443.39778406
21027,79.0,17.1115196463,9323.74175894
11690,47.0,36.2409424055,9258.54406311
15796,68.0,19.8766436436,9337.53379847
15874,66.0,24.9430170697,9129.39459289
15889,50.0,41.4012086118,9078.96697896
15903,76.0,24.67908762,8867.24916664
24100,109.0,12.3485532723,9251.1038233
24101,110.0,12.2415804861,9251.1038233
24115,87.0,15.4755895907,9105.81364781
11875,43.0,32.325175772,9595.07552105
16044,50.0,27.3075792213,9461.51376558
18394,96.0,22.2573457954,8672.76136257
16233,99.0,13.6340330374,9402.42237664
16255,52.0,37.2602293482,9066.62828718
21834,104.0,12.9696245779,9347.17836935
20419,45.0,37.4323428102,9273.41007627
20426,100.0,13.4615684595,9451.78944181
20444,52.0,25.4024525024,9455.46629935
16360,94.0,22.3380353059,8818.12219921
16373,57.0,28.8356957307,9258.54406311
20473,48.0,28.960556545,9487.44569109
