Solution ID,f[1],f[2],f[3]
550,71.0,403.0,381.929577465
2758,71.0,403.0,381.929577465
3950,75.0,395.0,361.56
4224,71.0,403.0,381.929577465
4342,75.0,395.0,361.56
4553,75.0,395.0,361.56
4610,75.0,395.0,361.56
5602,71.0,403.0,381.929577465
5884,71.0,403.0,381.929577465
6005,71.0,403.0,381.929577465
6401,71.0,403.0,381.929577465
7173,71.0,403.0,381.929577465
8392,71.0,403.0,381.929577465
8895,71.0,403.0,381.929577465
9139,71.0,403.0,381.929577465
9475,71.0,403.0,381.929577465
9850,70.0,403.0,387.385714286
10128,71.0,403.0,381.929577465
10471,71.0,403.0,381.929577465
14394,71.0,403.0,381.929577465
17069,76.0,398.0,356.802631579
17391,71.0,403.0,381.929577465
17709,76.0,398.0,356.802631579
17803,76.0,398.0,356.802631579
17942,76.0,398.0,356.802631579
18930,73.0,400.0,371.465753425
19351,73.0,400.0,371.465753425
20189,71.0,403.0,381.929577465
20542,71.0,403.0,381.929577465
20963,74.0,396.0,366.445945946
21435,71.0,403.0,381.929577465
21546,71.0,403.0,381.929577465
21583,71.0,403.0,381.929577465
21724,74.0,396.0,366.445945946
21802,71.0,403.0,381.929577465
22315,74.0,396.0,366.445945946
22476,74.0,396.0,366.445945946
22565,74.0,396.0,366.445945946
22759,74.0,396.0,366.445945946
22821,74.0,396.0,366.445945946
22857,74.0,396.0,366.445945946
22912,71.0,403.0,381.929577465
22948,74.0,396.0,366.445945946
23012,74.0,396.0,366.445945946
23082,74.0,396.0,366.445945946
23089,74.0,396.0,366.445945946
23091,74.0,396.0,366.445945946
23128,74.0,396.0,366.445945946
23131,74.0,396.0,366.445945946
23352,74.0,396.0,366.445945946
23355,71.0,403.0,381.929577465
23406,74.0,396.0,366.445945946
23485,74.0,396.0,366.445945946
23601,74.0,396.0,366.445945946
23666,74.0,396.0,366.445945946
23708,71.0,403.0,381.929577465
23778,74.0,396.0,366.445945946
23860,74.0,396.0,366.445945946
23965,74.0,396.0,366.445945946
24190,74.0,396.0,366.445945946
24200,72.0,401.0,376.625
24253,74.0,396.0,366.445945946
24452,74.0,396.0,366.445945946
24483,71.0,403.0,381.929577465
24486,71.0,403.0,381.929577465
24511,74.0,396.0,366.445945946
24616,74.0,396.0,366.445945946
24622,71.0,403.0,381.929577465
24718,74.0,396.0,366.445945946
24867,74.0,396.0,366.445945946
24896,71.0,403.0,381.929577465
24908,73.0,400.0,371.465753425
24926,74.0,396.0,366.445945946
24930,74.0,396.0,366.445945946
24971,74.0,396.0,366.445945946
