Solution ID,f[1] (B),f[2] (W),f[3] (s)
20504,43.0,37.0858694884,9604.16189214
20509,89.0,16.7268014305,9160.72548706
16432,53.0,36.2131559449,9000.53465643
20554,106.0,14.1995027875,8793.64521423
14421,58.0,32.9504056884,8981.95252545
20570,94.0,20.0015420781,8806.15394586
23239,60.0,31.8545778446,8914.35737268
18661,41.0,48.8015302878,9736.42410527
21886,112.0,13.4295211108,8746.58647756
24823,115.0,12.8268047839,8943.43621709
24829,119.0,12.3125134738,8943.43621709
24830,87.0,16.5806032334,9375.01859244
20736,41.0,48.8978132662,9691.63291228
24837,91.0,15.8706526301,9246.33822797
24838,92.0,15.695313368,9233.39864376
24839,93.0,15.5257827637,9229.07808495
24849,57.0,33.6507346099,8922.94313591
23713,70.0,20.8281808393,9159.05847038
24860,45.0,38.3557229765,9508.97049999
24862,46.0,37.4922520569,9500.22068687
24866,122.0,12.2202740466,8697.65502546
23259,95.0,19.7923538275,8789.42352223
24868,124.0,12.0166375247,8697.65502546
24869,125.0,11.9038524479,8697.65502546
24871,126.0,11.8163864187,8697.65502546
23602,83.0,18.068986485,9008.02610723
24885,78.0,19.1778435611,9072.60132332
24886,79.0,18.9284580729,9072.31592317
24887,80.0,18.7074937772,9056.38780815
24889,81.0,18.4696672184,9033.06108338
24917,98.0,15.127807713,9248.58870868
24918,99.0,14.9721526608,9239.36213545
24919,97.0,15.2406949344,9258.53812482
24925,101.0,14.5951106196,9258.53812482
24929,53.0,28.6853051717,9320.01577169
24952,59.0,32.2163337278,9045.10389808
24953,65.0,22.5519381953,9172.25158569
24962,69.0,21.211265233,9096.19920693
24965,46.0,42.8316271467,9336.93948021
24975,61.0,24.2080003333,9175.09778393
24978,64.0,23.0726918228,9152.73487653
18849,45.0,43.1598367153,9419.4481454
24998,113.0,12.9974629947,8884.24493895
25025,50.0,29.4458076188,9574.94871923
12849,45.0,33.150301085,9723.2541954
24342,120.0,12.4158703482,8697.65502546
24343,121.0,12.3007376959,8697.65502546
23271,44.0,39.0137804088,9517.88321047
23296,90.0,16.5404918435,9216.97643803
23297,66.0,22.1994325321,9267.7720647
23305,55.0,26.9011785956,9356.97110959
23359,41.0,47.6806528583,9762.05464214
23371,82.0,17.8142293985,9156.39456097
23375,84.0,17.3777555133,9115.74802555
23352,42.0,35.5411984921,9844.14561925
23432,85.0,16.9451275792,9180.29784131
21387,41.0,48.0473831105,9759.79620876
23442,102.0,14.9090731734,8817.96696847
23472,105.0,14.0207868575,8963.94513264
23500,100.0,14.8651924794,8967.37030993
23566,114.0,13.1554061714,8697.65502546
23568,116.0,12.9245191952,8697.65502546
23641,72.0,20.1526307608,9284.76092861
15452,51.0,29.9419780563,9320.01577169
21627,48.0,31.0988180924,9479.08603199
21628,49.0,30.4720289796,9437.05535003
23695,96.0,19.66842654,8726.46821991
23715,42.0,41.987196221,9583.55561062
23748,63.0,23.1849385439,9197.25016858
21737,86.0,16.7762283659,9385.00153678
23810,74.0,25.7311534766,8709.5399172
17764,103.0,14.7141918009,8821.014496
21879,43.0,35.3947802858,9790.95364619
21885,111.0,13.5531265706,8755.69141201
20717,41.0,44.0428732305,9807.44084579
23794,71.0,26.9008417505,8746.29371929
21963,44.0,45.4049650732,9449.37007037
21995,107.0,13.8756097693,8883.01867107
22000,109.0,13.6098888528,8842.52921637
22001,110.0,13.4783492995,8837.07085193
24832,88.0,16.392402276,9306.41189428
23820,104.0,14.277048049,8871.67922371
22090,54.0,33.7705288077,9056.62697121
23786,62.0,30.6437815206,8935.21477906
20240,108.0,13.653504909,8884.24493895
22137,73.0,26.2403080379,8696.45933911
22152,75.0,25.4452035191,8718.76780114
22154,76.0,25.1102294245,8711.91594415
24260,41.0,53.6525241034,9656.8408892
24867,123.0,12.1305603952,8697.65502546
24337,46.0,38.0001866223,9406.34426446
24338,117.0,12.7712582097,8697.65502546
24339,118.0,12.6661388636,8697.65502546
16155,42.0,44.993486519,9527.41363148
20266,52.0,40.2300950479,9015.6649061
20292,77.0,24.5488546476,8832.07766594
20373,47.0,39.5334722725,9076.00766404
16291,56.0,34.2497543715,8944.96183777
16344,67.0,28.6022870551,8780.94348771
20448,68.0,28.1490965507,8768.52262667
