                          2016-07-24 00:53:47.921503
*******************************************************************************

     This output file records the optimization of a bin packing problem

     with  500  items to pack. The optimization is terminated after

      25000  fitness function evaluations.


*******************************************************************************

     Method:  MOMAD
     data:  MOMAD/Static/SBSBPP500/Experiment08/SBSBPP500_run8.txt
Generation  1 : 

Gen. Member  Solution ID     f[1] (B)    f[2] (H)    f[3] (Avg. W)
        217          757           93         324          282.45
        218         1244           90         324          291.87
        219        11123           89         324          295.15
        220        13151           88         324          298.50
        221        10473           94         324          279.45
        222         6881           91         324          288.66
        223        13411           88         324          298.50
        224         4751           91         324          288.66
        225        10263           93         322          282.45
        226          226           92         323          285.52
        227        13073           88         324          298.50
        228         7483           92         324          285.52
        229        12106           96         324          273.62
        230         5451           93         323          282.45
        231          954           88         324          298.50
        232          709           91         324          288.66
        233        11245           95         323          276.51
        234         1049           92         324          285.52
        235          971           96         323          273.62
        236          236           94         323          279.45
        237          897           89         324          295.15
        238         1282           92         324          285.52
        239        13461           94         324          279.45
        240         1502           94         324          279.45
        241          241           92         324          285.52
        242          703           93         321          282.45
        243         7613           87         324          301.93
        244        12500           93         324          282.45
        245         1368           93         323          282.45
        246         1018           87         324          301.93
        247          895           87         324          301.93
        248         1040           91         324          288.66
        249         1314           93         324          282.45
        250         1023           88         324          298.50
        251        13328           91         324          288.66
        252          995           95         321          276.51
        253         1117           88         324          298.50
        254         1365           87         324          301.93
        255         1220           88         324          298.50
        256         1180           90         324          291.87
        257         5168           89         324          295.15
        258        12058           88         324          298.50
        259        11381           93         322          282.45
        260        11929           90         324          291.87
        261         2777           88         324          298.50
        262         8513           88         324          298.50
        263          732           93         321          282.45
        264        11980           89         324          295.15
        265         2049           92         324          285.52
        266         4828           93         323          282.45
        267          928           90         324          291.87
        268         9659           88         324          298.50
        269         1332           93         324          282.45
        270        13929           88         324          298.50
        271        14267           91         324          288.66
        272         4178           91         324          288.66
        273         2098           97         323          270.80
        274         1013           87         324          301.93
        275          662           88         324          298.50
        276          276           93         322          282.45
        277          973           96         323          273.62
        278         1250           93         323          282.45
        279         1135           94         323          279.45
        280          743           89         324          295.15
        281          281           93         323          282.45
        282        10054           94         324          279.45
        283         8028           93         320          282.45
