                          2016-07-24 14:21:08.550437
*******************************************************************************

     This output file records the optimization of a bin packing problem

     with  500  items to pack. The optimization is terminated after

      25000  fitness function evaluations.


*******************************************************************************

     Method:  MOMAD
     data:  MOMAD/Static/SBSBPP500/Experiment16/SBSBPP500_run16.txt
Generation  1 : 

Gen. Member  Solution ID     f[1] (B)    f[2] (H)    f[3] (Avg. W)
------------------------------------------------------------------
          0        10843           40         753          713.17
          1          536           38         872          750.71
          2        12449           40         745          713.17
          3         1689           39         874          731.46
          4         9328           40         881          713.17
          5            5           38         874          750.71
          6            6           39         859          731.46
          7            7           39         850          731.46
          8         2029           38         910          750.71
          9            9           39         845          731.46
         10        10657           38         874          750.71
         11           11           39         831          731.46
         12         6994           39         781          731.46
         13         1112           39         918          731.46
         14           14           39         856          731.46
         15           15           39         839          731.46
         16          563           39         810          731.46
         17           17           39         895          731.46
         18           18           39         810          731.46
         19        11258           40         747          713.17
         20           20           38         839          750.71
         21           21           39         874          731.46
         22           22           39         814          731.46
         23           23           39         828          731.46
         24           24           39         851          731.46
         25         9283           39         831          731.46
         26         5821           40         780          713.17
         27         4545           38         917          750.71
         28          593           39         963          731.46
         29        10635           40         787          713.17
         30         3223           38         893          750.71
         31         5148           39         851          731.46
         32         8163           38         949          750.71
         33           33           39         847          731.46
         34         4704           38         932          750.71
         35        13364           39         950          731.46
         36        11389           40         738          713.17
         37         1534           39         923          731.46
         38          533           39         921          731.46
         39           39           39         882          731.46
         40        10531           38         949          750.71
         41           41           39         851          731.46
         42         5877           39         925          731.46
         43         5173           38         948          750.71
         44         4625           39         939          731.46
         45           45           39         822          731.46
         46         9880           38         930          750.71
         47         9074           38         938          750.71
         48          539           40         746          713.17
         49           49           39         816          731.46
         50         9022           40         756          713.17
         51         7645           40         752          713.17
         52         8965           39         864          731.46
         53         4577           40         742          713.17
         54         1428           40         757          713.17
         55         9359           38         930          750.71
         56           56           39         861          731.46
         57          546           39         764          731.46
         58          517           39         751          731.46
         59         5641           38         940          750.71
         60         8603           40         757          713.17
         61          554           39         813          731.46
         62           62           39         852          731.46
         63        12633           39         948          731.46
         64         3485           39         944          731.46
         65          513           38         945          750.71
         66           66           39         824          731.46
         67         3689           38         889          750.71
         68          585           40         767          713.17
         69           69           39         853          731.46
         70        13443           38         880          750.71
         71          545           39         745          731.46
         72        10364           39         952          731.46
         73           73           39         873          731.46
         74        11048           40         769          713.17
         75        13130           40         786          713.17
         76           76           39         876          731.46
         77           77           38         861          750.71
         78         6241           39         940          731.46
         79           79           39         911          731.46
         80         6656           38         963          750.71
         81           81           39         836          731.46
         82          500           38         943          750.71
         83           83           39         888          731.46
         84         2393           39         904          731.46
         85        11363           39         930          731.46
         86           86           39         851          731.46
         87           87           39         861          731.46
         88        10400           38         917          750.71
         89           89           39         834          731.46
         90           90           39         835          731.46
         91           91           39         878          731.46
         92           92           38         851          750.71
         93           93           38         849          750.71
         94           94           39         869          731.46
         95          573           39         899          731.46
         96        13335           39         960          731.46
         97         5409           38         954          750.71
         98           98           39         876          731.46
         99         7670           39         904          731.46
        100        11103           39         896          731.46
        101         6215           40         749          713.17
        102          102           38         846          750.71
        103          103           39         860          731.46
        104         5226           40         747          713.17
        105        13390           39         894          731.46
        106          106           39         822          731.46
        107         9564           40         748          713.17
        108         7073           40         794          713.17
        109         6834           40         732          713.17
        110          110           39         832          731.46
        111         3797           38         932          750.71
        112        11622           39         913          731.46
        113          113           39         918          731.46
        114          114           38         895          750.71
        115         6527           38         855          750.71
        116         5328           38         959          750.71
        117          117           38         879          750.71
        118         9379           40         744          713.17
        119          119           39         834          731.46
        120        12349           40         785          713.17
        121          566           40         748          713.17
        122        11129           40         766          713.17
        123         6781           39         951          731.46
        124         7227           39         912          731.46
        125          125           39         811          731.46
        126          126           38         853          750.71
        127         2463           38         959          750.71
        128          534           38         896          750.71
        129          129           39         821          731.46
        130          130           38         851          750.71
        131        11232           39         961          731.46
        132        10479           39         961          731.46
        133        11701           38         944          750.71
        134         7170           39         889          731.46
        135        12889           38         951          750.71
        136         8525           38         954          750.71
        137          137           38         890          750.71
        138        10137           38         887          750.71
        139         7851           39         961          731.46
        140        10971           40         758          713.17
        141         4082           39         962          731.46
        142         9984           38         925          750.71
        143         5019           38         955          750.71
        144        12059           38         945          750.71
        145          145           39         846          731.46
        146         8399           39         924          731.46
        147        11724           38         878          750.71
        148        12554           40         766          713.17
        149        12533           39         943          731.46
        150         7824           39         912          731.46
        151          151           39         885          731.46
        152         3667           38         869          750.71
        153        10217           39         964          731.46
        154          154           38         855          750.71
        155         9749           39         941          731.46
        156         4317           40         778          713.17
        157        10583           40         821          713.17
        158        10998           38         942          750.71
        159         8888           38         926          750.71
        160         9309           38         954          750.71
        161         4471           39         956          731.46
        162          162           39         841          731.46
        163          163           39         827          731.46
        164         6967           39         961          731.46
        165        11959           39         924          731.46
        166         2549           38         934          750.71
        167        10868           38         953          750.71
        168         2835           40         775          713.17
        169          169           39         890          731.46
        170        12116           38         896          750.71
        171         8732           40         824          713.17
        172          172           39         887          731.46
        173         9932           39         926          731.46
        174          174           38         864          750.71
        175          175           39         837          731.46
        176         9515           40         762          713.17
        177         4421           38         888          750.71
        178         9591           41         772          695.78
        179        12140           39         946          731.46
        180        13079           40         829          713.17
        181         9463           40         835          713.17
        182          565           39         961          731.46
        183         7619           40         759          713.17
        184         7901           40         742          713.17
        185         6420           39         964          731.46
        186         8450           38         869          750.71
        187         8344           38         833          750.71
        188          188           39         852          731.46
        189          189           38         848          750.71
        190          190           38         890          750.71
        191          191           39         852          731.46
        192         9906           38         936          750.71
        193          193           39         856          731.46
        194         8137           38         957          750.71
        195          195           39         897          731.46
        196        10166           38         925          750.71
        197          197           38         880          750.71
        198          198           38         865          750.71
        199        10739           40         776          713.17
        200          200           39         835          731.46
        201        13313           40         809          713.17
        202          591           39         927          731.46
        203          562           39         958          731.46
        204         2649           38         872          750.71
        205         1347           39         958          731.46
        206        11493           40         771          713.17
        207          511           39         945          731.46
        208          208           39         867          731.46
        209          589           40         780          713.17
        210         5718           39         859          731.46
        211         8113           40         748          713.17
        212          212           39         960          731.46
        213          213           39         832          731.46
        214        10321           39         956          731.46
        215         5850           38         943          750.71
        216          216           38         809          750.71
        217         9723           40         814          713.17
        218         9048           38         933          750.71
        219        11076           39         958          731.46
        220        11154           39         949          731.46
        221          586           39         924          731.46
        222         6578           40         790          713.17
        223          535           38         939          750.71
        224        11649           38         943          750.71
        225        10427           40         803          713.17
        226          569           39         899          731.46
        227          227           39         835          731.46
        228         7150           38         931          750.71
        229          596           40         821          713.17
        230        12812           40         738          713.17
        231          231           39         904          731.46
        232        12870           38         956          750.71
        233         1665           39         954          731.46
        234          234           39         885          731.46
        235        11025           39         870          731.46
        236         8919           40         756          713.17
        237          237           39         845          731.46
        238          238           39         815          731.46
        239          239           38         881          750.71
        240          240           39         871          731.46
        241         2991           40         762          713.17
        242         2751           40         822          713.17
        243          506           39         761          731.46
        244         3173           38         863          750.71
        245          578           39         935          731.46
        246         8789           40         815          713.17
        247         4498           40         744          713.17
        248         4654           39         961          731.46
        249         6708           39         958          731.46
        250        11908           38         886          750.71
        251          251           39         815          731.46
        252          702           38         880          750.71
        253          253           39         901          731.46
        254          254           39         808          731.46
        255        10190           39         932          731.46
        256          529           38         921          750.71
        257          257           39         829          731.46
        258          258           39         836          731.46
        259         9150           41         728          695.78
        260          260           39         837          731.46
        261         8477           38         933          750.71
        262        11595           38         913          750.71
        263         5564           38         925          750.71
        264          560           40         773          713.17
        265         6729           41         747          695.78
        266        13493           39         899          731.46
        267         6316           38         886          750.71
        268          268           39         817          731.46
        269         5373           40         760          713.17
        270        10453           38         883          750.71
        271        12923           39         960          731.46
        272         8422           40         747          713.17
        273        12975           39         962          731.46
        274          588           39         799          731.46
        275         6553           40         753          713.17
        276          276           39         897          731.46
        277        11880           39         903          731.46
        278          278           39         879          731.46
        279         9205           38         925          750.71
        280         8035           39         905          731.46
        281         2107           39         961          731.46
        282         5981           39         918          731.46
        283          726           38         854          750.71
        284          519           38         910          750.71
        285          285           39         839          731.46
        286        10947           40         800          713.17
        287        10684           38         953          750.71
        288         6059           40         777          713.17
        289         8008           39         851          731.46
        290         2363           39         954          731.46
        291        12502           38         950          750.71
        292        12425           38         850          750.71
        293          293           38         820          750.71
        294          294           38         839          750.71
        295         6884           40         736          713.17
        296         1509           38         964          750.71
        297         1089           40         745          713.17
        298          548           40         761          713.17
        299        11566           38         952          750.71
        300         9098           40         770          713.17
        301          520           38         960          750.71
        302        13284           38         917          750.71
        303         6864           40         741          713.17
        304         6631           40         809          713.17
        305         8315           38         937          750.71
        306        12765           38         886          750.71
        307         8295           40         823          713.17
        308          553           40         770          713.17
        309          309           39         867          731.46
        310        11545           38         922          750.71
        311         7489           38         952          750.71
        312         9828           40         750          713.17
        313          313           39         819          731.46
        314        13180           39         906          731.46
        315          315           39         829          731.46
        316         9644           38         952          750.71
        317         8838           39         862          731.46
        318        12217           39         941          731.46
        319          319           39         870          731.46
        320          320           39         843          731.46
        321          594           39         963          731.46
        322        11202           38         952          750.71
        323          323           38         859          750.71
        324        13519           39         953          731.46
        325         4837           38         945          750.71
        326         6266           38         940          750.71
        327         6033           39         964          731.46
        328          328           39         856          731.46
        329        13416           38         947          750.71
        330          885           38         851          750.71
        331          331           39         814          731.46
        332         3147           38         887          750.71
        333        12299           38         924          750.71
        334        13598           40         816          713.17
        335        13051           40         746          713.17
        336         4729           39         871          731.46
        337          337           39         846          731.46
        338         5279           39         811          731.46
        339         7931           39         943          731.46
        340          340           39         824          731.46
        341         7435           40         778          713.17
        342         9618           39         886          731.46
        343         2444           40         756          713.17
        344          344           39         882          731.46
        345          345           38         872          750.71
        346         6370           38         909          750.71
        347          347           39         799          731.46
        348          348           39         825          731.46
        349         9854           39         913          731.46
        350         4993           39         864          731.46
        351          351           39         838          731.46
        352        11829           39         955          731.46
        353        10089           38         890          750.71
        354        10060           39         920          731.46
        355          355           38         876          750.71
        356         3118           40         775          713.17
        357          357           39         830          731.46
        358         3744           38         897          750.71
        359          359           39         861          731.46
        360         9491           40         739          713.17
        361          361           38         846          750.71
        362        13462           39         962          731.46
        363         9672           39         876          731.46
        364         7696           40         758          713.17
        365        10504           39         915          731.46
        366        12946           40         733          713.17
        367        12011           40         784          713.17
        368         1613           40         803          713.17
        369          369           39         836          731.46
        370        12377           39         916          731.46
        371         8632           40         779          713.17
        372          372           39         852          731.46
        373          373           39         827          731.46
        374         8216           40         750          713.17
        375        12585           38         914          750.71
        376         8995           39         914          731.46
        377        13001           40         794          713.17
        378          378           39         846          731.46
        379         2705           39         951          731.46
        380        11511           38         943          750.71
        381        11181           38         944          750.71
        382          382           39         867          731.46
        383          383           39         820          731.46
        384        12087           39         963          731.46
        385          385           39         852          731.46
        386         7744           38         950          750.71
        387         9436           39         961          731.46
        388          388           39         831          731.46
        389          389           39         801          731.46
        390          390           39         855          731.46
        391        13155           38         950          750.71
        392        12739           39         900          731.46
        393          393           38         864          750.71
        394         3277           39         956          731.46
        395          599           39         901          731.46
        396        12662           38         904          750.71
        397          397           39         872          731.46
        398         1715           38         896          750.71
        399         8241           40         771          713.17
        400         7333           39         954          731.46
        401        12686           38         837          750.71
        402         7514           40         763          713.17
        403          403           39         840          731.46
        404         8061           39         944          731.46
        405          501           38         877          750.71
        406          406           39         843          731.46
        407         3614           40         778          713.17
        408          408           39         804          731.46
        409        10765           39         896          731.46
        410        12714           39         928          731.46
        411          411           39         829          731.46
        412        11441           38         888          750.71
        413          413           38         868          750.71
        414          414           39         855          731.46
        415         7461           40         734          713.17
        416         9959           40         735          713.17
        417         1977           39         789          731.46
        418         4914           39         854          731.46
        419        13539           38         935          750.71
        420        13571           38         959          750.71
        421          421           39         878          731.46
        422        13232           38         896          750.71
        423          423           39         826          731.46
        424          424           38         879          750.71
        425          425           39         854          731.46
        426         2575           38         871          750.71
        427         2185           39         963          731.46
        428          986           38         841          750.71
        429         9774           40         845          713.17
        430         4187           40         788          713.17
        431          431           39         846          731.46
        432          432           39         897          731.46
        433          528           39         846          731.46
        434        13206           39         947          731.46
        435        10557           40         752          713.17
        436          436           38         828          750.71
        437          437           39         831          731.46
        438          438           39         839          731.46
        439        12479           40         761          713.17
        440          574           39         849          731.46
        441          441           39         802          731.46
        442          442           38         837          750.71
        443         5770           40         737          713.17
        444        12323           38         937          750.71
        445        12037           40         782          713.17
        446          446           39         862          731.46
        447          447           39         816          731.46
        448        10713           40         747          713.17
        449        13256           39         920          731.46
        450        11987           40         882          713.17
        451          451           38         850          750.71
        452        12606           38         952          750.71
        453        12793           40         748          713.17
        454        11337           38         888          750.71
        455         2157           39         930          731.46
        456         1766           38         951          750.71
        457          457           38         903          750.71
        458          458           39         845          731.46
        459         7202           40         737          713.17
        460        10034           39         930          731.46
        461          597           39         901          731.46
        462        12169           40         847          713.17
        463          463           39         828          731.46
        464          464           39         903          731.46
        465         8190           38         954          750.71
        466          559           39         936          731.46
        467         3977           40         744          713.17
        468          468           39         906          731.46
        469         2597           38         912          750.71
        470          575           39         849          731.46
        471         4941           38         946          750.71
        472          544           38         928          750.71
        473          473           39         828          731.46
        474          474           38         838          750.71
        475        10263           39         952          731.46
        476          476           39         828          731.46
        477          477           39         859          731.46
        478          478           39         828          731.46
        479        12400           38         960          750.71
        480        11857           38         921          750.71
        481          592           39         882          731.46
        482          482           38         881          750.71
        483         7377           40         752          713.17
        484        10817           40         764          713.17
        485         9796           39         769          731.46
        486         1629           40         813          713.17
        487         4785           38         941          750.71
        488         3900           39         889          731.46
        489         2262           39         856          731.46
        490          490           39         822          731.46
        491        12193           38         920          750.71
        492          492           39         894          731.46
        493        13100           38         878          750.71
        494        12273           39         963          731.46
        495         6085           38         940          750.71
        496          496           38         902          750.71
        497        11745           40         739          713.17
        498         8763           39         957          731.46
        499         4863           39         893          731.46

There are currently  5 solutions in the Pareto Set:
  - Solution Number  25
  - Solution Number  5434
  - Solution Number  7592
  - Solution Number  9150
  - Solution Number  9231


*******************************************************************************
                          2016-07-24 15:54:24.606233
