Solution ID,f[1] (B),f[2] (W),f[3] (s)
555,13.0,3.65774761837,4267.78080211
524,12.0,3.70906183762,4753.22193027
525,13.0,3.2088626141,4815.95252365
526,10.0,3.85780984053,4840.17028467
429,8.0,5.74542858674,4748.86006941
528,11.0,4.02276789135,4753.22193027
530,4.0,12.7738771157,5753.36280017
659,9.0,6.55978349836,4572.38628509
660,10.0,5.59124995944,4572.38628509
558,14.0,3.7344924046,4120.24071499
534,8.0,4.96924739041,5169.86736827
535,9.0,4.18599532775,5169.86736827
537,6.0,7.15588488593,5135.36605812
289,5.0,9.39493683224,5248.05179002
291,5.0,9.20379283643,5256.11147445
676,11.0,4.9389208212,4744.51450404
550,17.0,2.27498531408,4128.69119396
551,18.0,2.05197137197,4128.69119396
552,19.0,1.91250817134,4128.69119396
553,12.0,3.84320402381,4453.80805275
426,15.0,2.87862039651,4128.69119396
427,14.0,2.95542673769,4243.10972254
428,7.0,6.68750962517,4748.86006941
419,4.0,12.0745119589,5938.14160903
430,6.0,9.48520696695,4950.69347637
560,14.0,3.7344924046,4120.24071499
433,4.0,15.8085837001,5330.31689593
562,15.0,3.60368801899,4054.49324255
183,4.0,12.509511715,5788.33862954
314,4.0,14.4813952215,5731.26704822
315,4.0,14.4813952215,5731.26704822
316,4.0,14.4813952215,5731.26704822
317,4.0,14.4813952215,5731.26704822
318,4.0,14.4813952215,5731.26704822
319,4.0,14.4813952215,5731.26704822
320,4.0,14.4813952215,5731.26704822
321,4.0,14.4813952215,5731.26704822
322,4.0,14.4813952215,5731.26704822
323,3.0,20.4406649746,6108.92786925
327,3.0,20.1883655494,6121.02930374
585,3.0,25.1755329896,5951.12071623
338,9.0,5.15266482747,4846.4979355
339,10.0,4.61471468295,4792.26238143
340,10.0,5.04750712605,4682.09366884
342,12.0,3.81397438834,4494.70777794
527,11.0,3.74072398876,4815.95252365
570,7.0,5.72122089872,4931.1307894
606,3.0,22.9390295245,5988.0312567
549,16.0,2.50039990526,4128.69119396
571,7.0,5.79762374278,4927.55851345
678,9.0,5.94145804132,4744.51450404
572,8.0,5.02762930131,4908.44719846
368,3.0,22.7940186712,6031.98009403
554,12.0,3.87516200212,4270.94990886
