Solution ID,f[1],f[2],f[3]
60,43.0,668.0,638.325581395
73,43.0,668.0,638.325581395
145,42.0,672.0,653.523809524
263,44.0,662.0,623.818181818
271,43.0,668.0,638.325581395
2100,52.0,671.0,527.846153846
2292,53.0,672.0,517.886792453
2386,53.0,672.0,517.886792453
5233,43.0,668.0,638.325581395
5887,48.0,660.0,571.833333333
8153,45.0,660.0,609.955555556
10860,42.0,672.0,653.523809524
12131,50.0,664.0,548.96
12618,51.0,664.0,538.196078431
15068,46.0,653.0,596.695652174
15556,47.0,653.0,584.0
15666,44.0,662.0,623.818181818
16537,49.0,651.0,560.163265306
18891,53.0,672.0,517.886792453
19383,54.0,672.0,508.296296296
25411,42.0,672.0,653.523809524
