Solution ID,f[1],f[2],f[3]
277,51.0,584.0,539.784313725
1252,52.0,578.0,529.403846154
1755,54.0,584.0,509.796296296
3156,56.0,598.0,491.589285714
3646,57.0,598.0,482.964912281
4364,54.0,584.0,509.796296296
8298,55.0,595.0,500.527272727
8327,54.0,584.0,509.796296296
8782,55.0,595.0,500.527272727
8810,54.0,584.0,509.796296296
11455,48.0,680.0,573.520833333
12401,55.0,595.0,500.527272727
12430,50.0,598.0,550.58
13470,57.0,598.0,482.964912281
14256,50.0,598.0,550.58
14943,59.0,598.0,466.593220339
15433,60.0,598.0,458.816666667
16405,62.0,598.0,444.016129032
17378,64.0,598.0,430.140625
18125,56.0,598.0,491.589285714
19122,58.0,602.0,474.637931034
20896,53.0,573.0,519.41509434
22208,49.0,635.0,561.816326531
22304,54.0,584.0,509.796296296
22849,55.0,595.0,500.527272727
