Solution ID,f[1] (B),f[2] (W),f[3] (s)
22539,53.0,30.5934708908,8974.29210013
24592,53.0,36.0285896524,8931.09914726
24600,44.0,32.6429544268,9392.10394976
24604,51.0,36.8872067134,9009.27758689
24606,51.0,36.8872067134,9009.27758689
24608,51.0,36.8872067134,9009.27758689
24614,42.0,42.5311903006,9230.04418026
22535,66.0,18.4956611965,8915.1720142
9906,43.0,42.8491047283,9191.48164964
24624,54.0,35.9403705586,8893.54020574
24630,53.0,36.6542124086,8893.54020574
6156,61.0,25.4032959547,8814.43559267
22613,59.0,23.2566413354,9403.84093991
18525,42.0,41.738505384,9272.8443571
20578,45.0,34.2666094159,9184.27478455
18536,70.0,18.0665926016,9007.66529621
18539,69.0,18.4616520113,9007.66529621
23571,44.0,42.8555987492,9171.22897879
20605,62.0,21.617638067,9066.11061375
18572,43.0,46.0081553062,9143.70863667
20637,43.0,46.1380480332,9142.96227716
20643,42.0,47.1513222026,9144.45609636
20646,56.0,25.8890516225,9299.54488881
20647,57.0,25.7022070903,9299.54488881
22703,60.0,24.5998807965,8911.47826156
12469,48.0,33.0451068447,9196.04213649
24607,52.0,35.9921283209,9009.27758689
18625,43.0,36.2437260587,9218.68063883
14542,44.0,34.0969579007,9208.5220379
24612,59.0,22.8825487822,9437.8526511
24613,58.0,23.2337342873,9437.8526511
16615,45.0,33.4100003116,9208.5220379
24558,66.0,20.6985826611,8833.36789333
24552,42.0,60.3421927519,9125.71021781
24631,44.0,33.1570342234,9361.17387515
22517,53.0,35.3733535593,8971.80583554
4544,49.0,32.4912802811,9103.92819184
10809,48.0,33.5654146919,9174.64016952
23107,59.0,26.5197726883,8945.04541219
21074,43.0,44.009542335,9171.22897879
2752,49.0,30.7000673594,9220.90817757
24574,42.0,50.73437597,9130.97367015
3025,42.0,59.9936828469,9128.28986269
4929,63.0,20.9806486617,8843.57382085
19595,61.0,22.4108521655,8900.84780199
17239,43.0,39.2067140911,9201.56696708
24579,64.0,19.5209520501,9139.97958219
24580,64.0,19.5233452761,8915.1720142
13563,64.0,20.6785253464,8843.57382085
16535,57.0,28.4326792706,8859.84521232
24535,43.0,32.8510597577,9456.26762139
3028,54.0,27.6323147986,9017.55340013
7134,46.0,45.9726672795,9050.22130308
23531,44.0,32.2443475386,9494.95196523
23538,43.0,47.5705306307,9109.47006298
24584,65.0,19.2252176202,8915.1720142
7160,61.0,21.6461068045,9151.83410287
21504,62.0,23.8427975726,8795.96544915
23555,59.0,27.0655397479,8859.64766928
23577,52.0,36.2411649632,8971.80583554
21533,47.0,39.373890083,9022.51897387
23605,50.0,37.956433202,8971.80583554
23623,44.0,44.9205060915,9105.40809566
23624,43.0,33.7795916789,9400.19233693
19529,55.0,26.5027431625,9299.54488881
23634,43.0,43.6075597892,9188.111204
23639,42.0,44.5815169067,9188.111204
21597,43.0,35.6694627344,9242.93029587
23646,45.0,31.3308035501,9309.83104716
23649,49.0,38.9080357354,8971.80583554
23660,43.0,33.8078729111,9361.17387515
21613,42.0,40.1136612551,9307.13648008
19573,42.0,51.1639773607,9128.67219176
17528,69.0,18.4616520113,9007.66529621
19598,62.0,22.0405202717,8900.84780199
21654,56.0,26.0980197102,9061.22763143
19608,49.0,31.9908081387,9152.77298024
19614,42.0,46.9040572347,9145.64645175
19628,59.0,23.9853482888,8962.51525851
19631,58.0,24.4103139049,8958.04103623
19655,69.0,18.4616520113,9007.66529621
19660,45.0,46.8422721631,9050.22130308
13558,63.0,20.9806486617,8843.57382085
18646,63.0,20.8810702661,9151.83410287
19731,42.0,50.1893092321,9140.54051536
23833,49.0,31.7933193149,9158.11129194
13620,62.0,21.2883361517,9151.83410287
22404,42.0,34.3094637444,9436.68605118
9544,42.0,36.0994432602,9354.63196158
23900,45.0,41.3990074494,9075.27664839
14565,47.0,39.3447550219,9100.06811127
21529,65.0,19.0003657681,9325.57148273
23575,51.0,36.8872067134,9009.27758689
20037,63.0,20.8565128395,9233.85014275
16144,46.0,36.7524159068,9129.69482451
1285,48.0,31.7189981895,9220.90817757
24120,49.0,31.7536999952,9181.25208174
20052,43.0,34.005344984,9267.01903318
22695,50.0,28.8838656161,9066.5376569
24605,51.0,36.8872067134,9009.27758689
11912,43.0,33.7579976692,9430.59711531
7820,46.0,39.3006124101,9110.28078967
14183,48.0,33.8757545944,9091.88822738
18135,50.0,29.4584833431,9026.52232786
18301,42.0,34.6896913829,9361.17387515
14658,43.0,33.050398049,9433.95349079
20592,43.0,36.349930822,9214.55797595
20378,44.0,34.9701132103,9184.27478455
18354,43.0,35.6718514381,9238.67569955
23543,60.0,22.6310708417,9409.86888954
18381,44.0,43.4285972071,9136.92995887
24554,65.0,21.1582410803,8833.36789333
24566,54.0,29.364336153,8974.29210013
22520,51.0,37.1125588355,8971.80583554
