Solution ID,f[1],f[2],f[3]
85,68.0,471.0,409.735294118
101,72.0,451.0,386.972222222
123,71.0,454.0,392.422535211
249,70.0,454.0,398.028571429
302,75.0,435.0,371.493333333
527,53.0,580.0,525.698113208
548,52.0,587.0,535.807692308
778,66.0,481.0,422.151515152
793,58.0,534.0,480.379310345
813,102.0,331.0,273.156862745
1028,67.0,473.0,415.850746269
1187,68.0,471.0,409.735294118
1434,64.0,494.0,435.34375
1456,72.0,451.0,386.972222222
1619,77.0,427.0,361.844155844
1661,48.0,629.0,580.458333333
1709,62.0,505.0,449.387096774
2053,83.0,399.0,335.686746988
2165,57.0,545.0,488.807017544
2211,95.0,354.0,293.284210526
2406,81.0,410.0,343.975308642
2541,72.0,451.0,386.972222222
2796,57.0,545.0,488.807017544
2857,75.0,435.0,371.493333333
2899,54.0,572.0,515.962962963
2911,61.0,509.0,456.754098361
2956,89.0,372.0,313.056179775
3062,39.0,770.0,714.41025641
3161,60.0,522.0,464.366666667
3218,73.0,442.0,381.671232877
3496,66.0,481.0,422.151515152
3797,64.0,494.0,435.34375
3866,65.0,485.0,428.646153846
5057,92.0,371.0,302.847826087
6166,51.0,597.0,546.31372549
6646,50.0,613.0,557.24
6907,40.0,738.0,696.55
7619,79.0,615.0,352.683544304
7942,55.0,559.0,506.581818182
10722,89.0,372.0,313.056179775
10746,108.0,321.0,257.981481481
10759,41.0,734.0,679.56097561
11123,38.0,846.0,733.210526316
11395,90.0,395.0,309.577777778
11690,47.0,649.0,592.808510638
12151,44.0,748.0,633.227272727
12176,106.0,328.0,262.849056604
15450,84.0,461.0,331.69047619
15461,42.0,742.0,663.380952381
15694,82.0,395.0,339.780487805
15704,45.0,685.0,619.155555556
16752,103.0,466.0,270.504854369
16754,103.0,466.0,270.504854369
16865,98.0,358.0,284.306122449
17822,49.0,620.0,568.612244898
18835,97.0,500.0,287.237113402
19347,80.0,411.0,348.275
19535,43.0,749.0,647.953488372
19633,85.0,387.0,327.788235294
19811,76.0,427.0,366.605263158
20100,96.0,382.0,290.229166667
20102,96.0,382.0,290.229166667
21937,63.0,498.0,442.253968254
22044,78.0,420.0,357.205128205
22063,105.0,326.0,265.352380952
22614,69.0,459.0,403.797101449
22702,74.0,435.0,376.513513514
23142,101.0,449.0,275.861386139
24184,56.0,551.0,497.535714286
24421,59.0,522.0,472.237288136
24435,46.0,662.0,605.695652174
24497,113.0,376.0,246.566371681
24498,114.0,368.0,244.403508772
24499,115.0,368.0,242.27826087
24500,116.0,368.0,240.189655172
24501,117.0,368.0,238.136752137
24504,118.0,368.0,236.118644068
24516,88.0,402.0,316.613636364
24522,91.0,395.0,306.175824176
24536,107.0,413.0,260.392523364
24539,109.0,334.0,255.614678899
24542,110.0,334.0,253.290909091
24543,119.0,363.0,234.134453782
24548,120.0,365.0,232.183333333
24550,122.0,365.0,228.37704918
24552,121.0,365.0,230.26446281
24575,86.0,381.0,323.976744186
24579,87.0,511.0,320.252873563
24627,104.0,392.0,267.903846154
24650,93.0,422.0,299.591397849
24651,94.0,422.0,296.404255319
24670,99.0,449.0,281.434343434
24671,100.0,449.0,278.62
